"Plot-Titel: KLG"
"Anz.","Datum Zeit, GMT+02:00","Temp., °C (LGR S/N: 21309858, SEN S/N: 21309858, LBL: °C)","Intensität, Lux (LGR S/N: 21309858, SEN S/N: 21309858, LBL: Lux)"
230,08.05.22 05:23:41 AM,23.484,484.4
231,08.05.22 06:23:41 AM,24.641,10677.8
232,08.05.22 07:23:41 AM,26.390,17222.3
233,08.05.22 08:23:41 AM,25.902,9300.1
234,08.05.22 09:23:41 AM,28.159,28933.5
235,08.05.22 10:23:41 AM,25.708,8266.7
236,08.05.22 11:23:41 AM,25.513,7577.8
237,08.05.22 12:23:41 PM,24.255,5511.1
238,08.05.22 01:23:41 PM,27.173,18600.1
239,08.05.22 02:23:41 PM,31.983,34444.7
240,08.05.22 03:23:41 PM,30.558,15155.7
241,08.05.22 04:23:41 PM,29.352,12400.1
242,08.05.22 05:23:41 PM,26.683,1636.1
243,08.05.22 06:23:41 PM,25.416,4994.5
244,08.05.22 07:23:41 PM,22.717,2927.8
245,08.05.22 08:23:41 PM,20.234,204.5
246,08.05.22 09:23:41 PM,19.377,0.0
247,08.05.22 10:23:41 PM,18.616,0.0
248,08.05.22 11:23:41 PM,18.045,0.0
249,08.06.22 12:23:41 AM,17.570,0.0
250,08.06.22 01:23:41 AM,17.094,0.0
251,08.06.22 02:23:41 AM,15.951,0.0
252,08.06.22 03:23:41 AM,15.091,0.0
253,08.06.22 04:23:41 AM,14.421,0.0
254,08.06.22 05:23:41 AM,13.942,96.9
255,08.06.22 06:23:41 AM,14.230,3100.0
256,08.06.22 07:23:41 AM,15.664,18600.1
257,08.06.22 08:23:41 AM,21.091,37200.2
258,08.06.22 09:23:41 AM,23.484,44089.2
259,08.06.22 10:23:41 AM,20.424,13777.9
260,08.06.22 11:23:41 AM,22.429,41333.6
261,08.06.22 12:23:41 PM,25.125,12400.1
262,08.06.22 01:23:41 PM,25.416,35822.5
263,08.06.22 02:23:41 PM,23.004,10333.4
264,08.06.22 03:23:41 PM,28.258,11022.3
265,08.06.22 04:23:41 PM,29.152,27555.7
266,08.06.22 05:23:41 PM,28.258,30311.3
267,08.06.22 06:23:41 PM,27.961,23422.4
268,08.06.22 07:23:41 PM,26.195,19289.0
269,08.06.22 08:23:41 PM,22.046,1980.6
270,08.06.22 09:23:41 PM,19.853,0.0
271,08.06.22 10:23:41 PM,18.996,0.0
272,08.06.22 11:23:41 PM,18.045,0.0
273,08.07.22 12:23:41 AM,17.570,0.0
274,08.07.22 01:23:41 AM,16.808,0.0
275,08.07.22 02:23:41 AM,16.237,0.0
276,08.07.22 03:23:41 AM,15.569,0.0
277,08.07.22 04:23:41 AM,15.187,0.0
278,08.07.22 05:23:41 AM,14.804,269.1
279,08.07.22 06:23:41 AM,17.760,22044.6
280,08.07.22 07:23:41 AM,21.091,38578.0
281,08.07.22 08:23:41 AM,24.062,44089.2
282,08.07.22 09:23:41 AM,26.195,44089.2
283,08.07.22 10:23:41 AM,28.258,39955.8
284,08.07.22 11:23:41 AM,25.028,39955.8
285,08.07.22 12:23:41 PM,29.053,37200.2
286,08.07.22 01:23:41 PM,29.352,35822.5
287,08.07.22 02:23:41 PM,30.963,11022.3
288,08.07.22 03:23:41 PM,29.252,16533.4
289,08.07.22 04:23:41 PM,31.880,30311.3
