"Plot-Titel: GAS_TS_2"
"Anz.","Datum Zeit, GMT+02:00","Temp., °C (LGR S/N: 21309864, SEN S/N: 21309864)","Intensität, Lux (LGR S/N: 21309864, SEN S/N: 21309864)"
343,06.21.22 01:09:09 PM,28.060,33066.9
344,06.21.22 01:39:09 PM,28.754,31689.1
345,06.21.22 02:09:09 PM,28.357,33066.9
346,06.21.22 02:39:09 PM,29.152,34444.7
347,06.21.22 03:09:09 PM,28.853,30311.3
348,06.21.22 03:39:09 PM,28.060,26178.0
349,06.21.22 04:09:09 PM,28.655,4822.3
350,06.21.22 04:39:09 PM,26.292,17222.3
351,06.21.22 05:09:09 PM,27.567,15155.7
352,06.21.22 05:39:09 PM,26.781,12400.1
353,06.21.22 06:09:09 PM,28.060,17911.2
354,06.21.22 06:39:09 PM,27.567,17911.2
355,06.21.22 07:09:09 PM,25.319,9300.1
356,06.21.22 07:39:09 PM,24.835,5166.7
357,06.21.22 08:09:09 PM,22.717,4133.4
358,06.21.22 08:39:09 PM,21.664,2066.7
359,06.21.22 09:09:09 PM,19.567,635.1
360,06.21.22 09:39:09 PM,16.713,96.9
361,06.21.22 10:09:09 PM,15.473,0.0
362,06.21.22 10:39:09 PM,14.517,0.0
363,06.21.22 11:09:09 PM,13.654,0.0
364,06.21.22 11:39:09 PM,12.980,0.0
365,06.22.22 12:09:09 AM,12.497,0.0
366,06.22.22 12:39:09 AM,13.558,0.0
367,06.22.22 01:09:09 AM,12.787,0.0
368,06.22.22 01:39:09 AM,12.110,0.0
369,06.22.22 02:09:09 AM,11.431,0.0
370,06.22.22 02:39:09 AM,11.041,0.0
371,06.22.22 03:09:09 AM,10.553,0.0
372,06.22.22 03:39:09 AM,10.357,0.0
373,06.22.22 04:09:09 AM,9.965,0.0
374,06.22.22 04:39:09 AM,9.768,139.9
375,06.22.22 05:09:09 AM,9.669,484.4
376,06.22.22 05:39:09 AM,10.161,1205.6
377,06.22.22 06:09:09 AM,10.944,1550.0
378,06.22.22 06:39:09 AM,12.401,2238.9
379,06.22.22 07:09:09 AM,14.517,11022.3
380,06.22.22 07:39:09 AM,24.448,26178.0
381,06.22.22 08:09:09 AM,26.879,30311.3
382,06.22.22 08:39:09 AM,29.352,33066.9
383,06.22.22 09:09:09 AM,31.166,34444.7
384,06.22.22 09:39:09 AM,31.064,34444.7
385,06.22.22 10:09:09 AM,30.457,34444.7
386,06.22.22 10:39:09 AM,31.370,35822.5
387,06.22.22 11:09:09 AM,30.862,35822.5
388,06.22.22 11:39:09 AM,31.983,35822.5
389,06.22.22 12:09:09 PM,32.600,35822.5
390,06.22.22 12:39:09 PM,31.778,34444.7
391,06.22.22 01:09:09 PM,32.600,33066.9
392,06.22.22 01:39:09 PM,31.983,33066.9
393,06.22.22 02:09:09 PM,32.704,34444.7
394,06.22.22 02:39:09 PM,33.014,34444.7
395,06.22.22 03:09:09 PM,33.743,28933.5
396,06.22.22 03:39:09 PM,32.497,26178.0
397,06.22.22 04:09:09 PM,32.086,23422.4
398,06.22.22 04:39:09 PM,29.953,14466.8
399,06.22.22 05:09:09 PM,30.457,15155.7
400,06.22.22 05:39:09 PM,29.552,12400.1
401,06.22.22 06:09:09 PM,30.457,17911.2
402,06.22.22 06:39:09 PM,30.558,16533.4
403,06.22.22 07:09:09 PM,28.754,10333.4
404,06.22.22 07:39:09 PM,27.961,6200.0
405,06.22.22 08:09:09 PM,27.075,4994.5
406,06.22.22 08:39:09 PM,24.738,1550.0
407,06.22.22 09:09:09 PM,23.484,656.6
408,06.22.22 09:39:09 PM,20.996,150.7
409,06.22.22 10:09:09 PM,18.616,0.0
410,06.22.22 10:39:09 PM,20.519,0.0
411,06.22.22 11:09:09 PM,19.948,0.0
412,06.22.22 11:39:09 PM,19.472,0.0
413,06.23.22 12:09:09 AM,18.426,0.0
414,06.23.22 12:39:09 AM,17.665,0.0
415,06.23.22 01:09:09 AM,17.189,0.0
416,06.23.22 01:39:09 AM,16.141,0.0
417,06.23.22 02:09:09 AM,15.569,0.0
418,06.23.22 02:39:09 AM,14.421,0.0
419,06.23.22 03:09:09 AM,14.613,0.0
420,06.23.22 03:39:09 AM,14.325,0.0
421,06.23.22 04:09:09 AM,13.942,0.0
422,06.23.22 04:39:09 AM,12.980,139.9
423,06.23.22 05:09:09 AM,13.173,549.0
424,06.23.22 05:39:09 AM,13.654,1097.9
425,06.23.22 06:09:09 AM,14.517,1550.0
426,06.23.22 06:39:09 AM,15.664,2152.8
427,06.23.22 07:09:09 AM,17.665,9644.5
428,06.23.22 07:39:09 AM,26.292,26178.0
429,06.23.22 08:09:09 AM,28.953,30311.3
430,06.23.22 08:39:09 AM,30.558,33066.9
431,06.23.22 09:09:09 AM,30.457,33066.9
432,06.23.22 09:39:09 AM,31.472,34444.7
433,06.23.22 10:09:09 AM,33.535,34444.7
434,06.23.22 10:39:09 AM,33.848,35822.5
435,06.23.22 11:09:09 AM,34.796,35822.5
436,06.23.22 11:39:09 AM,34.479,35822.5
437,06.23.22 12:09:09 PM,34.479,34444.7
438,06.23.22 12:39:09 PM,35.115,34444.7
439,06.23.22 01:09:09 PM,35.649,33066.9
440,06.23.22 01:39:09 PM,35.542,33066.9
441,06.23.22 02:09:09 PM,36.620,33066.9
442,06.23.22 02:39:09 PM,37.274,33066.9
443,06.23.22 03:09:09 PM,35.756,27555.7
444,06.23.22 03:39:09 PM,35.649,26178.0
445,06.23.22 04:09:09 PM,35.115,24800.2
446,06.23.22 04:39:09 PM,33.118,15155.7
447,06.23.22 05:09:09 PM,32.911,15155.7
448,06.23.22 05:39:09 PM,32.600,13777.9
449,06.23.22 06:09:09 PM,33.222,17222.3
450,06.23.22 06:39:09 PM,32.807,14466.8
451,06.23.22 07:09:09 PM,31.370,9644.5
452,06.23.22 07:39:09 PM,30.862,6200.0
453,06.23.22 08:09:09 PM,29.652,4994.5
454,06.23.22 08:39:09 PM,26.977,1550.0
455,06.23.22 09:09:09 PM,25.416,699.7
456,06.23.22 09:39:09 PM,24.062,172.2
457,06.23.22 10:09:09 PM,24.158,10.8
458,06.23.22 10:39:09 PM,23.581,0.0
459,06.23.22 11:09:09 PM,22.812,0.0
460,06.23.22 11:39:09 PM,22.142,0.0
461,06.24.22 12:09:09 AM,21.664,0.0
462,06.24.22 12:39:09 AM,21.187,0.0
463,06.24.22 01:09:09 AM,20.519,0.0
464,06.24.22 01:39:09 AM,19.758,0.0
465,06.24.22 02:09:09 AM,19.472,0.0
466,06.24.22 02:39:09 AM,18.711,0.0
